Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
28001 Acebeda, La;;;Índice de Gini;2023;.
28001 Acebeda, La;;;Índice de Gini;2022;.
28001 Acebeda, La;;;Índice de Gini;2021;.
28001 Acebeda, La;;;Índice de Gini;2020;.
28001 Acebeda, La;;;Índice de Gini;2019;.
28001 Acebeda, La;;;Índice de Gini;2018;.
28001 Acebeda, La;;;Índice de Gini;2017;.
28001 Acebeda, La;;;Índice de Gini;2016;.
28001 Acebeda, La;;;Índice de Gini;2015;.
28001 Acebeda, La;;;Distribución de la renta P80/P20;2023;.
28001 Acebeda, La;;;Distribución de la renta P80/P20;2022;.
28001 Acebeda, La;;;Distribución de la renta P80/P20;2021;.
28001 Acebeda, La;;;Distribución de la renta P80/P20;2020;.
28001 Acebeda, La;;;Distribución de la renta P80/P20;2019;.
28001 Acebeda, La;;;Distribución de la renta P80/P20;2018;.
28001 Acebeda, La;;;Distribución de la renta P80/P20;2017;.
28001 Acebeda, La;;;Distribución de la renta P80/P20;2016;.
28001 Acebeda, La;;;Distribución de la renta P80/P20;2015;.
28001 Acebeda, La;2800101 Acebeda, La distrito 01;;Índice de Gini;2023;.
28001 Acebeda, La;2800101 Acebeda, La distrito 01;;Índice de Gini;2022;.
28001 Acebeda, La;2800101 Acebeda, La distrito 01;;Índice de Gini;2021;.
28001 Acebeda, La;2800101 Acebeda, La distrito 01;;Índice de Gini;2020;.
28001 Acebeda, La;2800101 Acebeda, La distrito 01;;Índice de Gini;2019;.
28001 Acebeda, La;2800101 Acebeda, La distrito 01;;Índice de Gini;2018;.
28001 Acebeda, La;2800101 Acebeda, La distrito 01;;Índice de Gini;2017;.
28001 Acebeda, La;2800101 Acebeda, La distrito 01;;Índice de Gini;2016;.
28001 Acebeda, La;2800101 Acebeda, La distrito 01;;Índice de Gini;2015;.
28001 Acebeda, La;2800101 Acebeda, La distrito 01;;Distribución de la renta P80/P20;2023;.
28001 Acebeda, La;2800101 Acebeda, La distrito 01;;Distribución de la renta P80/P20;2022;.
28001 Acebeda, La;2800101 Acebeda, La distrito 01;;Distribución de la renta P80/P20;2021;.
28001 Acebeda, La;2800101 Acebeda, La distrito 01;;Distribución de la renta P80/P20;2020;.
28001 Acebeda, La;2800101 Acebeda, La distrito 01;;Distribución de la renta P80/P20;2019;.
28001 Acebeda, La;2800101 Acebeda, La distrito 01;;Distribución de la renta P80/P20;2018;.
28001 Acebeda, La;2800101 Acebeda, La distrito 01;;Distribución de la renta P80/P20;2017;.
